"","Denominación_social","Domicilio_social","Latitud","Longitud","Fecha_constitución","CNAE","Objeto_social","Tamaño_empresa_por_facturación","Índice_crec_interanual_ventas","Tamaño_empresa_por_empleados","Empleo_fijo","Empleo_temporal","Teléfono","Estado","URL","Metatag_descripción","RRSS","Cotización_en_bolsa","Actividad_internacional","Capital_social","Empleados","Empleados_año","Resultado","Municipio"
"1532","Limpiezas Majo's Sl","CALLE MADALENOSTE, 6 - PISO 4 D","43.17119782","-2.63241531","26/05/1993","9601 - Lavado y limpieza de prendas textiles y de piel","LA REALIZACION DE TODO TIPO DE LIMPIEZAS SOBRE CUALQUIER SUPERFICIE.","Menor de 300 mil €","2000: 
2001: 23,38 %
2002: 20,66 %","Entre 5 y 25","2000: 0 %
2001: 0 %
2002: 0 %","2000: 100,00 %
2001: 100,00 %
2002: 100,00 %","946819671","Activa","-","-","-","NO","No constan","90.000 €","5 (año 2004)","2004","Negativo Consultar","Durango"
"1533","Vulcanizados Irigoyen Sl  (extinguida)","CALLE SAN FRANTZISKO, 11","43.165423","-2.628974","16/04/1999","2211 - Fabricación de neumáticos y cámaras de caucho; reconstrucción y recauchutado de neumáticos","LA COMPRA VENTA ARRENDAMIENTO. MONTAJE, REPARACION, EXPORTACION E IMPORTACION Y COMERCIALIZACION DE TODO TIPO DE PRODUCTOS E INSTALACIONES INDUSTRIALES O COMERCIALES RELACIONADAS CON EL CAUCHO, GOMAS, PLASTICOS O SIMILAR","Menor de 300 mil €","2007: 
2008: -8,5 %
2009: -59,78 %","Menos de 5","2005: 100,00 %
2006: 100,00 %
2007: 100,00 %
2008: 100,00 %
2009: 100,00 %","2005: 0 %
2006: 0 %
2007: 0 %
2008: 0 %
2009: 0 %","-","Extinguida","-","-","-","NO","No constan","3.005,06 €","1 (año 2009)","2009","Negativo Consultar","Durango"
"1534","Lurgain Kiroldegia Sl  (extinguida)","CALLE LARROSOLOETA","43.166299","-2.627169","17/11/1999","9313 - Actividades de los gimnasios","LA PRACTICA, ENSENANZA Y ASESORAMIENTO DEPORTIVO, EN TODAS SUS MODALIDADES, PARA CUYO EJERCICIO NO SE EXIJA UNA TITULACION ACADEMICA ESPECIFICA QUE IMPIDA SU EJERCICIO A PERSONAS QUE CAREZCAN DE LA MISMA.","Menor de 300 mil €","2008: 
2009: -48,71 %
2010: 7,36 %","-","-","-","-","Extinguida","-","-","-","NO","No constan","24.041,6 €","-","-","Positivo Consultar","Durango"
"1535","Alicatados Y Solados Armando Rocha E Hijos Sl","CALLE KOMENTU, 22 - 5 IZ","43.16620225","-2.63046643","12/12/2007","4121 - Construcción de edificios residenciales","OBRAS DE ALBANILERIA Y PEQUENOS TRABAJOS DE CONSTRUCCION.","-","Administrador:  ARMANDO G...
Administrador:  PILAR DE JESUS D...","-","-","-","-","Activa","-","-","-","NO","No constan","3.006 €","-","-","-","Durango"
"1536","Dybe Koloreak Sl","CALLE FRANTZISKO IBARRA, 13 - PISO 3 IZ","43.17331167","-2.63404331","01/07/2009","4399 - Otras actividades de construcción especializada n.c.o.p.","LA REALIZACION DE TRABAJOS Y SERVICIOS DE PINTURA, BARNIZADO Y DECORACION DE INMUEBLES.","-","Administrador:  JOSE RAMON C...
Administrador:  JOSE ANTONIO F...","-","-","-","-","Activa","-","-","-","NO","No constan","3.010 €","-","-","-","Durango"
"1537","Gorkajai Sociedad Limitada.","PLAZA DURANGOKO PLATEROAK, 3 - B 1","43.170333","-2.63217","02/07/1996","6820 - Alquiler de bienes inmobiliarios por cuenta propia","LA COMPRA VENTA ADMINISTRACION EXPLOTACION ARRIENDO PROMOCION Y CONSTRUCCION DE TERRENOS RUSTICOS Y URBANOS DE URBANIZACIONES DE VIVIENDAS DE LOCALES COMERCIALES INDUSTRIALES INSTALACIONES URBANAS DEPORTIVAS Y GRANJAS O","-","Administrador Único:  AITOR T...","-","-","-","-","Activa","-","-","-","NO","No constan","3.005,06 €","-","-","-","Durango"
"1538","El Arbaoui Arabat Salah","-",NA,NA,"-","4782 - Comercio al por menor de productos textiles, prendas de vestir y calzado en puestos de venta y mercadillos","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"1539","Martinez Parra Jone","-",NA,NA,"-","4775 - Comercio al por menor de productos cosméticos e higiénicos en establecimientos especializados","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"1540","Rodriguez Pelarda Eduardo","-",NA,NA,"-","4772 - Comercio al por menor de calzado y artículos de cuero en establecimientos especializados","VENTA DE CALZADO","-","-","Menos de 5","-","-","-","Activa","-","-","-","-","No constan","-","2 (año 2011)","2011","-","Durango"
"1541","Viajes Ezkurdi Sociedad Anonima.","CALLE ANDRA MARI, 4","43.168144","-2.632173","08/01/1992","7911 - Actividades de las agencias de viajes","ACTIVIDADES PROPIAS DE AGENCIA DE VIAJES DEL GRUPO 'A'.","-","Presidente:  MARIA MAGDALENA P...
Consejero:  ANA RAQUEL P...","-","-","-","-","Activa","-","-","-","NO","No constan","60.101,21 €","-","-","-","Durango"
"1542","Hastech Global Sa (extinguida)","AVENIDA LANDAKO, 4 - ED LANDAKO ELKARTEG","43.171629","-2.634148","18/01/2007","4121 - Construcción de edificios residenciales","LA CONSTRUCCION DE OBRAS","-","-","-","-","-","-","Extinguida","-","-","-","NO","No constan","60.150 €","-","-","-","Durango"
"1543","Amaser Sociedad Anonima.","AVENIDA ASKATASUN, 18","43.169408","-2.638708","19/11/1992","7311 - Agencias de publicidad","PUBLICIDAD EN GENERAL.","Menor de 300 mil €","1994: 
1995: 132,89 %
1996: 54,15 %","Menos de 5","1994: 100,00 %
1995: 100,00 %
1996: 100,00 %","1994: 0 %
1995: 0 %
1996: 0 %","946200612","Activa","-","-","-","NO","No constan","60.101,21 €","2 (año 1996)","1996","Negativo Consultar","Durango"
"1544","Izerko Sa","BARRIO LARRINAGATXU, 7","43.15993574","-2.65385275","21/12/1989","4110 - Promoción inmobiliaria","-","-","Administrador Único:  PELLO M...","-","-","-","985468378","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"1545","Tadu Laboral Sa","CALLE SAN FAUSTO","0","0","11/04/1984","2849 - Fabricación de otras máquinas herramienta","Fabricacion y venta de maquinaria y herramientas.","-","Presidente:  JOSE LUIS A...
Consejero Delegado:  RAMON V...
Gerente:  JOSE MARIA P...","Entre 50 y 250","-","-","-","Activa","-","-","-","NO","No constan","300.506,05 €","60 (año 1993)","1993","-","Durango"
"1546","Errota Sa","CALLE URKO, 1","43.17133","-2.623649","14/04/1981","6820 - Alquiler de bienes inmobiliarios por cuenta propia","-","-","-","-","-","-","946032390","Activa","-","-","-","NO","No constan","1.006.136,64 €","-","-","Positivo Consultar","Durango"
"1547","Inmobizkaia Sa","CALLE JUAN MARI ALTUNA, 18","43.17045744","-2.62766663","29/07/2005","4110 - Promoción inmobiliaria","LA PROMOCION INMOBILIARIA","-","Administrador Único:  IVAN O...","-","-","-","-","Activa","-","-","-","NO","No constan","60.102 €","-","-","Positivo Consultar","Durango"
"1548","Ikirulab Sociedad Limitada.","CALLE HERRIKO GUDARIEN, 1 - 3","43.16860318","-2.63430658","18/01/2007","8130 - Actividades de jardinería","SERVICIOS DE JARDINERIA","-","Administrador:  CRISTINA I...
Administrador:  IBON A...","-","-","-","-","Activa","-","-","-","NO","No constan","6.000 €","-","-","-","Durango"
"1549","Galbaster Sl","CALLE FRAY JUAN ANTONIO ABASOLO, 4 - BAJO","43.17108642","-2.63385777","20/03/1995","6512 - Seguros distintos de los seguros de vida","ACTIVIDADES DE CORREDURIA DE SEGUROS.","-","2016: 100,00 %
0 %: 100,00 %","Menos de 5","Administrador Único:  MIKEL G...","-","946201432","Activa","-","-","-","NO","No constan","4.988,3 €","1 (año 2018)","2018","Negativo Consultar","Durango"
"1550","Superavalos Sociedad Limitada.","CAMINO GASTEIZ, 4","43.169641","-2.637777","29/10/2001","9329 - Otras actividades recreativas y de entretenimiento","EXPLOTACION HOSTELERIA BAR RESTAURANTE DISCOTECA.","-","Administrador Único:  ISABEL V...","Menos de 5","-","-","-","Activa","-","-","-","NO","No constan","4.000 €","3 (año 2002)","2002","-","Durango"
"1551","Durango Telebista Sociedad Limitada  (extinguida)","CALLE SANTANOSTE, 4","43.165318","-2.632045","25/04/2002","6020 - Actividades de programación y emisión de televisión","GESTIONAR UNA TELEVISION LOCAL PARA EL AMBITO DEL DURANGUESADO.","Menor de 300 mil €","2008: 
2009: -19,29 %
2010: -51,9 %","Entre 5 y 25","2006: 35,71 %
2007: 22,22 %
2008: 23,52 %
2009: 28,57 %
2010: 50,00 %","2006: 64,28 %
2007: 77,77 %
2008: 76,47 %
2009: 71,42 %
2010: 50,00 %","946812998","Extinguida","-","-","-","NO","No constan","283.350 €","6 (año 2010)","2010","Negativo Consultar","Durango"
"1552","Datavi Durango Sl","CALLE AMBROSIO MEABE KALEA (BA JO), 3","43.17290011","-2.63882871","22/11/1996","4651 - Comercio al por mayor de ordenadores, equipos periféricos y programas informáticos","COMPRA Y VENTA DE EQUIPOS INFORMATICOS, DE TODO TIPO DE SOFTWARE, SERVICIO TECNICO DE HARDWARE Y SOFTWARE INFORMATICO.","Entre 300 y 600 mil €","2008: 
2009: -19,54 %
2010: -28,42 %","Menos de 5","2006: 100,00 %
2007: 100,00 %
2008: 100,00 %
2009: 100,00 %
2010: 100,00 %","2006: 0 %
2007: 0 %
2008: 0 %
2009: 0 %
2010: 0 %","-","Activa","http://www.datavi.net","-","-","NO","No constan","3.005,06 €","4 (año 2010)","2010","Negativo Consultar","Durango"
"1553","Carlos Revuelta Ingunza Maria De La Sier","CALLE ZEHARKALEA, 13","43.16654627","-2.63041172","01/01/2003","4754 - Comercio al por menor de aparatos electrodomésticos en establecimientos especializados","-","-","-","-","-","-","946814931","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"1554","Herederos Florentino Leceta Cb","GRUPO MURUETATORRE, 8 - PORTAL A","43.172105","-2.632407","01/09/2006","6420 - Actividades de las sociedades holding","SOCIEDAD PATRIMONIAL","-","Administrador:  JAVIER L...
Administrador:  DANIEL L...","-","-","-","946202638","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"1555","Jone Agurtzane Lekue Salvador-marta Puma","CALLE ZUMALAKARREGI, 6 - 3 B","43.16863299","-2.6322988","01/01/2005","6910 - Actividades jurídicas","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"1556","Jose Alberto Lorenzo Camarena Luis Sanch","AVENIDA LANDAKO (BA JO), 8","43.171621","-2.634155","01/01/2005","5630 - Establecimientos de bebidas","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"1557","Miguel Alexandre Pontes Avelar V","CALLE SASIKOA, 10","43.171003","-2.636608","01/01/2016","4729 - Otro comercio al por menor de productos alimenticios en establecimientos especializados","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"1558","Clara Eugen Iratxe Aresti Moreno","ALAMEDA ANTSO ESTEGIZ, 2 - BJO","43.16632521","-2.6299879","01/01/2016","4711 - Comercio al por menor en establecimientos no especializados, con predominio en productos alimenticios, bebidas y tabaco","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"1559","Gaizka Larringan Iñurrategui-asi","CALLE ERRETENTXU, 32 - BJO","43.16578437","-2.62854601","01/01/2016","7120 - Ensayos y análisis técnicos","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"1560","Maria Isabel Angel Gutierrez Ruiz","CALLE ALLUITZ, 7 - BJ","43.17118264","-2.6391474","01/01/2016","4721 - Comercio al por menor de frutas y hortalizas en establecimientos especializados","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"1561","Maria Angeles Raul Hernandez Cuevas","CALLE ERMODO, 20 - 1","43.17067102","-2.63281307","01/01/2016","6910 - Actividades jurídicas","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"1562","Jon Urien Barturen-jokin Idirin","CALLE OLLERIA, 6 - BJ 1 D","43.17055996","-2.62673498","01/01/2016","8551 - Educación deportiva y recreativa","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"1563","Oihan Garitaonandia Ibarra-jon Silloniz","CALLE ERRETENTXU, 32 - 4","43.165776","-2.62855","01/01/2016","6203 - Gestión de recursos informáticos","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"1564","Eduardo Pere Javier Carregal Cea","CALLE JUAN DE OLAZARAN, 13 - 4 A","43.174744","-2.633447","01/01/2016","9601 - Lavado y limpieza de prendas textiles y de piel","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"1565","Andrea Larrea Garcia-nahia Zezia","GRUPO MURUETATORRE, 2 - BJO","43.171785","-2.63127618","01/01/2018","8622 - Actividades de medicina especializada","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"1566","Amaya Helenca Marquez Fuertes","CALLE GALLANDA, 12 - BJ 1","43.17091339","-2.62503619","01/01/2018","9602 - Peluquería y otros tratamientos de belleza","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"1567","Ana I Joseba Martin Beguiristain","CALLE TRENBIDE, 4 - 4 IZD","43.16985195","-2.63317516","01/01/2018","1624 - Fabricación de envases y embalajes de madera","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"1568","Deday Ighagbon Silvia Ohemzuwa","AVENIDA ASKATASUN, 36 - BJ IZD I Z","43.169569","-2.639753","01/01/2018","7711 - Alquiler de automóviles y vehículos de motor ligeros","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"1569","Unai Arrinda Elorriaga Y Otro Cb","CALLE JOSE ANTONIO AGIRRE LEHENDAKARI, 6","43.173264","-2.635437","01/11/2012","4511 - Venta de automóviles y vehículos de motor ligeros","-","-","Administrador:  ANA ISABEL F...
Administrador:  UNAI A...","Menos de 5","-","-","-","Activa","-","-","-","NO","No constan","-","2 (año 2013)","2013","-","Durango"
"1570","Joana Zuriturriza Gutierrez-imanol Iturr","CALLE LAUBIDETA, 4 - 2B","43.164239","-2.630115","01/01/2002","5630 - Establecimientos de bebidas","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"1571","Asier Tutor Gonzalez Amagoia Tut","CALLE MIKELDI, 2 - BJ","43.1719283","-2.63461223","01/01/2011","5630 - Establecimientos de bebidas","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"1572","Beatriz Capelastegui Saiz Maria Emma Cap","PLAZA EZKURDI, 7 - 1 DR","43.16850125","-2.63284993","01/11/1996","8622 - Actividades de medicina especializada","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"1573","Estibaliz Larrinaga Fernandez De","CALLE ANDRA MARI, 10 - BAJO","43.16773911","-2.63169145","01/07/2012","4771 - Comercio al por menor de prendas de vestir en establecimientos especializados","comercio al menor de prendas de vestir.","-","Administrador:  ESTIBALIZ L...
Administrador:  ALEXANDER L...","Menos de 5","-","-","946813118","Activa","-","-","-","NO","No constan","-","2 (año 2012)","2012","-","Durango"
"1574","Joseba Andoni Carlos Artiach Pecharroman","AVENIDA MONTEVIDEO, 15","43.16969272","-2.62810113","01/11/1996","4321 - Instalaciones eléctricas","-","-","-","-","-","-","946813178","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"1575","Maria Inmaculada Bardeci Ortiz E","CALLE ARTEKALEA, 31","43.16658295","-2.63175392","02/01/2013","4771 - Comercio al por menor de prendas de vestir en establecimientos especializados","Venta al menor de prendas de vestir.","-","Administrador:  MARIA INMACULADA B...
Administrador:  ELSA MARIA B...
Gerente:  MARIA INMACULADA B...","Entre 5 y 25","-","-","946215879","Activa","-","-","-","NO","Importa","-","8 (año 2017)","2017","-","Durango"
"1576","Juan Duran Calero Isidoro Duran Calero","GRUPO MURUETATORRE, 8 - A 2 A","43.17213586","-2.63235847","07/08/1992","4399 - Otras actividades de construcción especializada n.c.o.p.","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"1577","Juan Manuel Iriondo Aldana Amaia Barrene","CALLE MONAGOTORRE, 7 - 4","43.16865768","-2.63079361","01/06/1996","6203 - Gestión de recursos informáticos","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"1578","Ibon A. Luis Miguel Ayarzaguena San Roman","BARRIO ARTABILLA, 3","43.15986821","-2.63073699","01/11/1996","2599 - Fabricación de otros productos metálicos n.c.o.p.","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"1579","Juan Esteban Leturiondo Arana-luis Alber","CALLE TRENBIDE, 4","43.16966","-2.633455","-","9601 - Lavado y limpieza de prendas textiles y de piel","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"1580","Oihane Alacano Loiti Iñigo Garri","CALLE GOIENKALEA (BA JO), 11","43.166203","-2.631503","01/01/2014","5630 - Establecimientos de bebidas","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"1581","Francisco Javier Canete Navarro","CALLE ZIRARMENDIETA, 25 - 2 IZ","43.16732771","-2.62102281","01/01/2014","4332 - Instalación de carpintería","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"1582","Landako Erakustazoka Sociedad Anonima.","AVENIDA LANDAKO, 6","43.17159697","-2.63084","06/02/2004","6832 - Gestión y administración de la propiedad inmobiliaria","LA GESTION INTEGRAL Y EXPLOTACION DEL EDIFICIO MULTIUSOS DE LANDAKO Y DEMAS DEPENDENCIAS ANEXAS","Menor de 300 mil €","2011: 
2012: -6,31 %
2013: -24,33 %","Entre 5 y 25","2009: 100,00 %
2010: 100,00 %
2011: 100,00 %
2012: 100,00 %
2013: 100,00 %","2009: 0 %
2010: 0 %
2011: 0 %
2012: 0 %
2013: 0 %","946032430","Activa","http://www.landakogunea.com","LANDAKO GUNEA-n barruti garbia aurkituko duzu, aparkaleku zaindua eta modu guztietako ekitaldiak ospatzea ahalbidetzen duen zerbitzu gama zabala, bezeroaren neurrira eginda. Bertako 4.200 m2-tan urtero azokak, kultur eta musika jaialdiak, erakusketak eta kontzertuak egiten dira beste gauza batzuen artean. -","","NO","No constan","360.200 €","7 (año 2013)","2013","Negativo Consultar","Durango"
"1583","Excavaciones Gregorio Sa  (extinguida)","CALLE PABLO PEDRO ASTARLOA KALEA, 7","43.168833","-2.629694","06/03/1980","4312 - Preparación de terrenos","EXCAVACION, RELLENO, DESMONTES, TRANSPORTES, OBRAS PUBLICAS Y PRIVADAS, CONSTRUCCIONES, VENTA, TALLERES Y SERVICIOS DE REPARACION DE TODA CLASE DE VEHICULOS Y MAQUINARIA, SUMINISTROS INDUSTRIALES Y CUANTO SEA CONSECUENCN","Menor de 300 mil €","2011: 
2012: -4,52 %
2013: -77,94 %","Menos de 5","2009: 100,00 %
2010: 100,00 %
2011: 100,00 %
2012: 100,00 %
2013: 100,00 %","2009: 0 %
2010: 0 %
2011: 0 %
2012: 0 %
2013: 0 %","946813675","Extinguida","-","-","-","NO","No constan","60.852,48 €","1 (año 2013)","2013","Negativo Consultar","Durango"
"1584","Urmuru Sociedad Anonima","AVENIDA MONTEVIDEO, 11","43.16963734","-2.62869224","06/06/1989","4122 - Construcción de edificios no residenciales","CONSTRUCCION Y PROMOCION INMOBILIARIA.","Entre 300 y 600 mil €","2017: 
2019: 62,69 %","Menos de 5","2015: 100,00 %
2016: 50,00 %
2017: 50,00 %
2018: 100,00 %
2019: 100,00 %","2015: 0 %
2016: 50,00 %
2017: 50,00 %
2018: 0 %
2019: 0 %","946812465","Activa","-","-","-","NO","No constan","1.451.415 €","1 (año 2019)","2019","Negativo Consultar","Durango"
"1585","Diaz Urruela Jose Manuel","-",NA,NA,"-","4399 - Otras actividades de construcción especializada n.c.o.p.","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"1586","Matamoros Delgado Maria Dolores","-",NA,NA,"-","5630 - Establecimientos de bebidas","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"1587","Yebra Martin Ivan","-",NA,NA,"-","4765 - Comercio al por menor de juegos y juguetes en establecimientos especializados","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"1588","Benito Ronda Jose Angel","-",NA,NA,"-","4941 - Transporte de mercancías por carretera","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"1589","Cabeza Gonzalez Manuela","-",NA,NA,"-","4724 - Comercio al por menor de pan y productos de panadería, confitería y pastelería en establecimientos especializados","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"1590","Rodriguez Morera Yolanda","-",NA,NA,"-","8559 - Otra educación n.c.o.p.","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"1591","Carreto Lobato Egoitz","-",NA,NA,"-","5630 - Establecimientos de bebidas","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"1592","Vallo Arizmendiarrieta Jose Javier","-",NA,NA,"-","1082 - Fabricación de cacao, chocolate y productos de confitería","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"1593","Amondo Bilbao Aranzazu","-",NA,NA,"-","5630 - Establecimientos de bebidas","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"1594","Amantegi Agirrebeitia Jose","-",NA,NA,"-","7420 - Actividades de fotografía","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"1595","Proenza Trinidad Manuel","-",NA,NA,"-","5630 - Establecimientos de bebidas","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"1596","Rojo Senero Jose Manuel","-",NA,NA,"-","4719 - Otro comercio al por menor en establecimientos no especializados","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"1597","Lopez Jimenez Jose","-",NA,NA,"-","4321 - Instalaciones eléctricas","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"1598","Jimenez Dominguez Shayd","-",NA,NA,"-","0161 - Actividades de apoyo a la agricultura","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"1599","Diaz Irazabal Ane","-",NA,NA,"-","9602 - Peluquería y otros tratamientos de belleza","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"1600","Valdes Cañet Osvaldo","-",NA,NA,"-","5630 - Establecimientos de bebidas","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"1601","De Vicente Garrido Fernando","-",NA,NA,"-","4759 - Comercio al por menor de muebles, aparatos de iluminación y otros artículos de uso doméstico en establecimientos especializados","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"1602","Gastelu Iturri Aranguez Aintzane","-",NA,NA,"-","4339 - Otras actividades de acabado de edificios","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"1603","Solano Val Mikel","-",NA,NA,"-","5630 - Establecimientos de bebidas","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"1604","Zabala Rodriguez Concepcion","-",NA,NA,"-","9200 - Actividades de juegos de azar y apuestas","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"1605","Torres Chavez Darwin Patricio","-",NA,NA,"-","0240 - Servicios de apoyo a la silvicultura","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"1606","Marañon Uriarte Jesus Manuel","-",NA,NA,"-","3519 - Producción de energía eléctrica de otros tipos","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"1607","Lopez Tejero Yolanda","-",NA,NA,"-","9602 - Peluquería y otros tratamientos de belleza","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"1608","Feijoo Rosa Naiara","-",NA,NA,"-","9602 - Peluquería y otros tratamientos de belleza","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"1609","Del Fresno Molero Sergio","-",NA,NA,"-","5630 - Establecimientos de bebidas","Explotación de Bar - Cafetería.","-","-","Menos de 5","-","-","-","Activa","-","-","-","-","No constan","-","2 (año 2018)","2018","-","Durango"
"1610","Galvis Lozada Juan Carlos","-",NA,NA,"-","9602 - Peluquería y otros tratamientos de belleza","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"1611","Teruel Cazorla Virginia","-",NA,NA,"-","4752 - Comercio al por menor de ferretería, pintura y vidrio en establecimientos especializados","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"1612","Bustinherri Promociones Sociedad Limitada","CALLE ANDRA MARI, 16 - BJ","43.16759154","-2.63107435","07/09/2004","4110 - Promoción inmobiliaria","PROMOCION, CONSTRUCCION, COMPRA, VENTA, ARRENDAMIENTO Y EXPLOTACION EN CUALQUIER OTRA FORMA, DE TODA CLASE DE EDIFICACIONES, SOLARES E INMUEBLES EN GENERAL","Menor de 300 mil €","2017: 
2019: -5,69 %","-","Administrador Único:  DANIEL C...","-","-","Activa","-","-","-","NO","No constan","4.000 €","-","-","Negativo Consultar","Durango"
"1613","Bodegon Montorretas Sl","GRUPO ALIENDALDE, 9 - E","43.162883","-2.61728","27/03/2006","5610 - Restaurantes y puestos de comidas","EL NEGOCIO DE HOSTELERIA","Menor de 300 mil €","2015: 
2016: 4,89 %
2017: -4,48 %","Menos de 5","2013: 100,00 %
2014: 100,00 %
2015: 100,00 %
2016: 100,00 %","2013: 0 %
2014: 0 %
2015: 0 %
2016: 0 %","946462726","Activa","-","-","-","NO","No constan","3.006 €","3 (año 2016)","2016","Negativo Consultar","Durango"
"1614","Fundiciones Fumbarri Sociedad Limitada (extinguida)","CALLE SAN ROKE, 22","43.167487","-2.644318","03/05/1956","2453 - Fundición de metales ligeros","LA FUNDICION DE METALES Y EL MOLDEO DE PIEZAS","Entre 6 y 30 millones €","2008: 
2009: -51,79 %","Entre 25 y 50","2000: 100,00 %
2002: 100,00 %
2008: 100,00 %
2009: 100,00 %","2000: 0 %
2002: 0 %
2008: 0 %
2009: 0 %","946217120","Extinguida","http://www.grupo-fumbarri.com","-","-","NO","No constan","2.226.000 €","29 (año 2009)","2009","Positivo Consultar","Durango"
"1615","Plateruen Plaza 12 Sociedad Limitada  (extinguida)","CALLE DURANGOKO PLATEROAK PLAZA, 2 - BJ","43.170046","-2.632163","29/09/2003","4110 - Promoción inmobiliaria","COMPRA Y VENTA, ADMINISTRACION, ARRIENDO Y EXPLOTACION DE SOLARES, INMUEBLES Y NEGOCIOS TANTO POR CUENTA PROPIA COMO EN INTERMEDIACION POR CUENTA DE TERCEROS, ASI COMO LA PROMOCION INMOBILIARIA","Menor de 300 mil €","2005: 
2006: -28,4 %
2007: -20,86 %","Menos de 5","2005: 0 %
2006: 0 %
2007: 25,00 %","2005: 100,00 %
2006: 100,00 %
2007: 75,00 %","946813500","Extinguida","-","-","-","NO","No constan","3.006 €","4 (año 2007)","2007","Positivo Consultar","Durango"
